"group","KRT6A","SPRR1A","SPRR1B","KRT5","SPRR3","SFTA3","SFTA2","S100A7","NTS","DSG3","KRT14","DSC3","SERPINB3","GJB6","KRT17","SERPINB13","KRT6B","AKR1B10","PI3","SERPINB4","KRT13","GPR87","DAPL1","NAPSA","ADH7","CLCA2","SPINK1","AGR3","UPK1B","TOX3","LOC344887","FOLR1","FOXE1","C16orf89","S100A2","KRT15","MMP10","SERPINB2","KRT16","TRIM29","BNC1","SLC34A2","SFTPB","CYP4F3","PTPRZ1","PGC","CEACAM6","SOX2","MAGEA4","SOX2OT"
"34",1,6.504,3.6528,4.9638,6.4715,9.5832,9.9687,8.762,3.8351,3.6359,4.4891,5.6578,4.0884,6.7427,6.0896,7.9603,3.0151,7.502,6.6715,7.1127,5.0182,7.3566,5.9353,5.184,10.5582,3.8492,3.635,11.5705,10.7225,4.3455,3.3983,5.2863,8.8613,3.3222,6.104,10.1675,7.4819,8.1839,4.2967,5.312,7.1427,3.0143,6.6405,12.6891,3.8374,3.4164,7.1529,11.5098,5.2773,3.1043,3.0295
"35",1,3.5661,4.3171,10.7034,4.8096,7.6296,10.5637,10.8557,3.8901,3.8958,4.4118,4.2952,3.9784,4.2066,3.5716,4.6329,3.1614,6.5745,4.3008,5.7265,3.1626,3.925,4.2962,4.2859,12.1383,3.8455,3.6475,6.4918,9.7846,4.4623,8.5113,4.1061,8.9429,4.9783,8.5457,11.9235,5.3786,3.5777,3.5415,4.7909,5.1191,2.8826,10.4256,13.5126,3.5056,4.0697,6.4172,11.1859,4.8481,3.1221,2.9606
"36",1,9.9421,8.7622,8.0936,5.2882,6.1663,3.123,7.2562,7.9362,5.5946,9.0779,4.8194,4.6062,12.001,7.3878,9.2878,2.9372,10.7459,5.5721,9.9029,9.9333,3.4753,4.1568,5.0335,5.4546,3.7369,3.7396,11.2596,9.1675,7.851,9.8874,4.6955,10.0645,4.0668,4.7323,7.0883,5.834,7.1925,8.5688,7.3694,9.0316,2.9436,5.3666,5.8767,7.954,4.535,8.3359,12.8992,5.2026,4.1002,2.9302
"37",1,8.476,4.6178,6.979,8.9838,6.6417,6.8149,4.3402,4.4332,4.7679,4.5812,7.887,3.7668,9.9033,6.7499,11.3284,3.0243,9.9684,6.6026,9.3679,8.1528,4.5643,8.2334,4.292,5.841,3.8602,3.9048,4.8792,4.5094,5.9051,3.1888,4.5115,7.543,3.2894,5.5671,11.3825,7.4475,8.425,4.5517,9.1535,10.0086,6.8281,6.1473,11.4232,3.8205,4.5081,5.5831,11.9765,6.5097,2.9916,3.1066
"38",1,7.9852,8.1223,7.662,7.3677,8.7939,11.3931,10.7391,4.4935,3.4418,6.9264,5.2404,5.0472,4.5987,3.7989,4.9289,4.3488,7.9074,5.8954,4.8522,3.1516,7.6464,4.5331,5.3383,11.9806,4.9135,4.1492,9.0499,9.3615,4.1466,9.8933,4.7393,11.1136,3.7266,9.6491,8.749,5.9529,3.5124,5.1288,5.1859,6.6174,3.2571,9.8259,13.3633,3.6453,7.1578,8.5976,12.6096,5.5795,3.2319,2.8855
"39",1,4.0367,3.4831,3.6895,4.7553,4.1838,10.2753,9.2832,3.7816,12.4478,4.3258,4.1619,3.4613,6.768,3.6307,6.0305,3.0766,6.4092,4.4531,6.6727,5.6491,3.681,3.309,4.4566,8.8474,3.7193,3.598,13.336,9.6969,4.055,10.8253,3.8597,8.8902,3.1668,6.861,5.344,5.6959,8.9138,3.97,4.8687,5.8905,3.0679,5.1488,12.8982,5.4174,6.3303,11.4743,11.6146,6.7705,6.2705,2.9917
"40",1,7.9791,3.3802,6.0243,5.44,4.3173,10.3699,9.2865,3.7568,4.3384,4.293,4.0531,3.5152,6.2648,5.2589,5.1631,3.1748,7.516,4.222,4.8065,5.0883,3.7548,3.6384,4.4442,10.9128,3.8902,3.8061,11.7525,8.2349,4.1646,8.0863,3.9463,7.4013,3.2391,7.6213,7.2641,7.0333,7.5736,3.6867,5.7518,6.3065,3.0777,8.6143,12.9798,3.6625,3.8172,6.781,12.5317,5.2366,3.2878,3.1868
"41",2,12.9842,12.4065,11.8125,6.2982,12.9501,6.3551,5.4294,5.499,11.0488,10.19,7.8801,9.8525,11.0916,11.7221,8.8479,7.6616,12.3595,12.3249,9.7983,8.2272,11.1438,8.8372,8.5823,8.8829,11.3177,10.48,7.7789,7.601,11.6972,4.9264,10.2411,7.4226,9.2044,7.0356,9.6724,9.8663,7.6661,8.0461,9.2891,10.3428,5.5298,5.1241,11.5396,9.0881,8.1511,5.9595,8.3158,11.0328,3.0648,9.7267
"42",2,12.5286,11.7178,10.4824,12.3134,11.4797,3.1482,3.468,9.3518,12.1546,10.5197,6.5741,9.7939,10.3689,9.776,11.5963,10.1059,11.8675,12.7904,11.5114,9.3732,7.838,9.3693,8.8881,5.3357,10.3757,8.6113,4.3609,3.7511,12.1143,3.0837,10.5922,4.3669,9.3288,4.6705,13.0717,11.0225,7.3512,10.3781,7.8259,10.1813,8.239,3.5639,5.0247,10.2087,11.4904,4.8839,9.8385,10.1031,9.3665,7.7721
"43",2,3.6771,3.431,3.4277,4.7145,4.3665,11.1036,8.7995,3.7626,3.4885,4.3887,4.0483,3.6757,4.1704,3.2433,4.7688,3.0326,6.4478,3.9016,6.4026,3.0834,3.4831,3.5006,4.7923,11.4422,3.9137,3.5625,6.1368,10.3898,4.254,10.3575,3.9715,9.1362,3.1972,8.724,8.4504,5.9783,5.2896,4.0435,4.4893,5.3087,2.9693,4.6827,13.8011,3.6193,3.5256,8.2415,11.4203,7.8245,3.2392,3.2353
"44",2,12.7284,8.11,9.1898,12.7415,10.6091,3.7153,3.8719,9.0068,3.8816,9.3188,13.145,8.1732,9.9746,7.6893,10.2371,7.7335,12.3919,8.0818,6.1518,7.5996,10.8777,8.6572,6.0621,6.3097,6.5685,7.2294,5.6791,5.8939,4.2589,3.619,4.6457,5.4721,5.2308,5.8432,13.0222,9.9407,7.4143,6.2789,10.7132,9.7373,7.0635,5.5645,8.5747,3.664,6.8931,5.1129,9.9005,7.0833,9.2332,3.1601
"45",2,3.9886,5.6267,4.1996,6.0709,4.5363,3.279,3.5731,9.8801,3.5578,4.269,3.9517,3.8454,5.8393,3.3784,7.3052,3.0072,6.5815,6.5852,8.9801,6.8517,3.6197,4.7722,4.7589,5.8728,3.6436,3.3978,5.0184,3.692,4.2482,8.5591,3.9432,4.3348,3.357,4.848,5.8075,4.7486,3.9199,3.6884,5.4888,5.4903,2.9447,4.7551,8.1792,4.4865,3.1875,5.0975,4.3933,6.555,3.1307,2.9784
"46",2,13.2081,12.7091,12.3684,12.6971,12.7348,4.9255,4.4228,12.7695,11.6908,9.6786,11.9961,8.4814,12.4317,12.0804,10.0229,8.1921,12.6181,10.6257,10.3364,12.0448,10.9993,9.5705,10.0411,7.7757,3.8736,9.7265,6.1584,6.1569,7.3955,3.1474,4.5551,6.2505,4.3368,5.8207,12.8058,11.8261,5.1924,6.0867,11.5591,9.7062,7.5189,4.9902,10.7556,3.7988,7.489,5.5568,7.4191,7.6635,8.4082,3.2913
